epoch,train_mse,validation_mse
1,30.03035820007324,27.460127686801023
2,27.69356170654297,25.431116757327562
3,23.9544637298584,23.35052202825677
4,22.130944747924804,21.803076156198163
5,20.147951507568358,20.39058810717439
6,17.84844535827637,19.18237388297303
7,15.587554473876953,17.531456620725866
8,13.780716400146485,16.0737630765732
9,11.842535438537597,14.550700540411961
10,9.95321439743042,13.156209527629695
11,8.069605770111083,11.668509966706576
12,6.820246429443359,10.397920334175842
13,5.658141479492188,8.863603056293645
14,4.74586441040039,7.299381020950944
15,3.3803148078918457,5.9904080613018715
16,2.550033302307129,4.903417456639956
17,1.9716652297973634,3.9672039045046454
18,1.620102653503418,3.189085261462486
19,1.148268804550171,2.4817060183172357
20,0.9467916494607925,1.881492902154792
21,0.8492623376846313,1.4945139558347937
22,0.7032181048393249,1.2366795245915243
23,0.6621056389808655,1.0187948795214092
24,0.5807521510124206,0.7474237141543871
25,0.5100297409296036,0.6276829438666774
26,0.53609628200531,0.5685250497844121
27,0.512861590385437,0.5303038660794088
28,0.3744747447967529,0.4405241894395384
29,0.426961413025856,0.40696044000860765
30,0.4566607761383057,0.3912926357086391
31,0.49345343112945556,0.3579697045561385
32,0.3535218107700348,0.3174922727558711
33,0.37379212737083434,0.30398122823401674
34,0.35960657835006715,0.2954225972907184
35,0.39413363933563234,0.2967661986612294
36,0.37708294034004214,0.2640138856352192
37,0.40681915640830996,0.25062122736891657
38,0.3957097172737122,0.2246967178501495
39,0.4013431942462921,0.20506460536016177
40,0.37102570950984953,0.2109916332649858
41,0.35573976159095766,0.21199795726227433
42,0.3484025985002518,0.19946214434218734
43,0.39526636362075807,0.20143363247179005
44,0.3185172390937805,0.21078950248352468
45,0.41651148557662965,0.20316162746246547
46,0.35518551170825957,0.1958300577451105
47,0.2852701735496521,0.18453652319842823
48,0.30852326631546023,0.17291334883807458
49,0.3368829953670502,0.16865079451913703
50,0.3236503863334656,0.1705637819146457
51,0.3244605678319931,0.16046031452205084
52,0.2764131021499634,0.1566014338846076
53,0.2961048185825348,0.15625903500269536
54,0.32156820118427276,0.1694695965884483
55,0.27266156911849976,0.16248724109505955
56,0.3360197734832764,0.13896462892832823
57,0.3638969498872757,0.1357838760500085
58,0.26211156368255617,0.1415901392290037
59,0.2740495449304581,0.14909440360657156
60,0.2983336758613586,0.1443561560487094
61,0.28156313180923465,0.12275447339227755
62,0.28400579988956454,0.12511532192360864
63,0.3248953741788864,0.12344646739633117
64,0.2625113171339035,0.11911770660583287
65,0.3019170391559601,0.12303762770678899
66,0.2948339280486107,0.11846757751621612
67,0.27832984626293183,0.11714838302298768
68,0.28073909878730774,0.11879815426591324
69,0.2551754453778267,0.11706764077487057
70,0.27845418989658355,0.11210345568722241
71,0.2771054458618164,0.10690565631814199
72,0.279470933675766,0.13100707286024746
73,0.347012015581131,0.117326654391746
74,0.23197837710380553,0.11076285128724085
75,0.23857317864894867,0.10376726152145699
76,0.26251278817653656,0.10439722627809603
77,0.23834672927856446,0.10643903033374107
78,0.269016774892807,0.11570850627063071
79,0.2556422239542007,0.11212039524561739
80,0.31912958502769473,0.10188458104656167
81,0.2866225364804268,0.09943231593256127
82,0.20003108620643617,0.10163425501078775
83,0.2735770997405052,0.09758786959190892
84,0.21831221520900726,0.09682331428135911
85,0.22887571692466735,0.09613906602336936
86,0.22648024320602417,0.09290904235349942
87,0.22605111062526703,0.08722764049490837
88,0.25593353748321535,0.08735776580359837
89,0.21306391358375548,0.0855699508157495
90,0.2468399089574814,0.08284275131682826
91,0.23868260979652406,0.07791723494660364
92,0.298773227930069,0.07767710844947867
93,0.20674678295850754,0.08852070549579516
94,0.26542908310890195,0.08716468349711536
95,0.26229281306266783,0.09431364132116919
96,0.18875211358070373,0.08906807474894067
97,0.21316206991672515,0.08476190758894568
98,0.19908757746219635,0.07996637976332886
99,0.24635157465934754,0.07892593863892229
100,0.22059526324272155,0.07314773802071402
101,0.22134118854999543,0.07281478484199472
102,0.24719784736633302,0.0760840553126923
103,0.25890452980995177,0.07932412501883833
104,0.2664960050582886,0.07814457910518123
105,0.23749394714832306,0.07582296961790895
106,0.1592797613143921,0.07210743815115053
107,0.2086363559961319,0.07187018819051245
108,0.1969967809319496,0.0714338191159784
109,0.21180735051631927,0.06565690601933492
110,0.214962722659111,0.06562407600553069
111,0.17386106491088868,0.06740552186965942
112,0.20979403614997863,0.0711773250200977
113,0.2302011477947235,0.06872335607058382
114,0.21093547523021697,0.06914720898621703
115,0.22041137874126435,0.06996719927003939
116,0.2189183270931244,0.06528533199062087
117,0.1884027336537838,0.06418947018172642
118,0.19231686294078826,0.06175031349675296
119,0.1948045861721039,0.05837544615138067
120,0.253176326751709,0.05826484697730574
121,0.24633752644062043,0.05655066158673535
122,0.26517760783433914,0.0572295850270415
123,0.22094387501478197,0.05771396707182061
124,0.21555501461029053,0.05984267939443458
125,0.1963511574268341,0.054899061073179115
126,0.1614227169752121,0.05700756374695529
127,0.21490466564893723,0.0556317682135595
128,0.2091275066137314,0.05580655914055158
129,0.19740934371948243,0.05547146167453021
130,0.1909482377767563,0.059592234251433854
131,0.22881926894187926,0.059831142629662604
132,0.2179251354932785,0.06009986098498514
133,0.20554011821746826,0.05155705037998826
134,0.1804779040813446,0.05023019791465916
135,0.18599341213703155,0.053743384676436856
136,0.18347402215003966,0.05616267693981732
137,0.17673725187778472,0.0536870686975244
138,0.19545939415693284,0.05289069746863352
139,0.2102328622341156,0.05089499714643988
140,0.1486551719903946,0.049768380616625696
141,0.22862163424491883,0.050487591030254755
142,0.1653315657377243,0.052570352611476426
143,0.201589851975441,0.04869703509627956
144,0.19638843715190887,0.045290146380254664
145,0.187074391245842,0.04572305491525833
146,0.17037985384464263,0.044626319398210476
147,0.17281924188137054,0.04066298065120227
148,0.17367042422294618,0.04216139666634063
149,0.14297200828790665,0.0452024569250133
150,0.1592826473340392,0.04785990398632337
151,0.15569767355918884,0.04616167911723869
152,0.1794113862514496,0.048505156313719815
153,0.1574210360646248,0.04887341105774658
154,0.19619617819786073,0.05004130936648748
155,0.1650755846500397,0.05109562969779315
156,0.16865635097026824,0.044806154878580404
157,0.2060329806804657,0.046752718825862835
158,0.1594049382209778,0.05153213267865246
159,0.18702774673700331,0.04757793574300531
160,0.16113802134990693,0.049565356684057676
161,0.15908193945884705,0.04570128605382083
